Symbol,Datetime,Open,High,Low,Close,Volume
META,2024-01-02 09:57:00,342.76,343.27,342.56,343.03,148372.0
META,2024-01-02 09:58:00,343.06,343.62,342.71,342.8701,112801.0
META,2024-01-02 09:59:00,342.94,344.45,342.82,344.45,124115.0
META,2024-01-02 10:00:00,344.4,345.48,344.23,345.285,111273.0
META,2024-01-02 10:01:00,345.2503,345.37,344.845,345.0508,74749.0
META,2024-01-02 10:02:00,345.06,345.295,344.73,345.256,65051.0
META,2024-01-02 10:03:00,345.1471,345.31,344.47,345.17,56497.0
META,2024-01-02 10:04:00,345.2099,345.41,344.84,345.33,59180.0
META,2024-01-02 10:05:00,345.33,345.39,344.835,344.8799,54343.0
META,2024-01-02 10:06:00,344.8201,345.23,344.7,345.1499,57053.0
META,2024-01-02 10:07:00,345.15,345.24,344.76,344.76,30960.0
META,2024-01-02 10:08:00,344.76,344.83,344.46,344.705,54011.0
META,2024-01-02 10:09:00,344.72,345.35,344.67,345.32,38735.0
META,2024-01-02 10:10:00,345.26,345.57,345.07,345.15,68571.0
META,2024-01-02 10:11:00,345.16,345.4199,344.79,344.91,59508.0
META,2024-01-02 10:12:00,344.85,344.92,344.51,344.74,62119.0
META,2024-01-02 10:13:00,344.74,345.2,344.74,344.99,50684.0
META,2024-01-02 10:14:00,344.99,345.02,344.25,344.305,47580.0
META,2024-01-02 10:15:00,344.23,344.23,343.65,343.7,56853.0
META,2024-01-02 10:16:00,343.735,344.0599,343.67,343.8,46126.0
META,2024-01-02 10:17:00,343.8054,344.325,343.72,344.3045,45851.0
META,2024-01-02 10:18:00,344.3075,344.5,344.1,344.225,33758.0
META,2024-01-02 10:19:00,344.1949,344.37,343.34,343.34,48730.0
META,2024-01-02 10:20:00,343.3465,343.7514,343.34,343.65,66387.0
META,2024-01-02 10:21:00,343.63,343.72,343.42,343.565,49393.0
META,2024-01-02 10:22:00,343.5582,343.84,343.5582,343.695,32435.0
META,2024-01-02 10:23:00,343.69,343.77,343.39,343.4906,60879.0
META,2024-01-02 10:24:00,343.54,343.58,343.37,343.415,71888.0
META,2024-01-02 10:25:00,343.42,343.46,342.53,342.5799,94644.0
META,2024-01-02 10:26:00,342.55,342.55,341.89,342.03,103640.0
META,2024-01-02 10:27:00,342.04,342.6866,342.02,342.39,56641.0
META,2024-01-02 10:28:00,342.28,342.362,341.6043,341.64,68319.0
META,2024-01-02 10:29:00,341.645,341.88,341.5,341.57,89512.0
META,2024-01-02 10:30:00,341.53,341.545,341.13,341.1789,67410.0
META,2024-01-02 10:31:00,341.15,341.7,341.15,341.47,92560.0
META,2024-01-02 10:32:00,341.42,341.4999,341.06,341.12,63539.0
META,2024-01-02 10:33:00,341.115,341.535,341.05,341.245,71442.0
META,2024-01-02 10:34:00,341.27,341.63,341.22,341.37,75800.0
META,2024-01-02 10:35:00,341.31,341.53,341.21,341.2992,61718.0
META,2024-01-02 10:36:00,341.3,341.66,341.29,341.39,55028.0
META,2024-01-02 10:37:00,341.39,341.64,341.37,341.5025,40976.0
META,2024-01-02 10:38:00,341.5299,341.65,341.4201,341.65,36435.0
META,2024-01-02 10:39:00,341.65,342.01,341.38,341.43,67462.0
META,2024-01-02 10:40:00,341.37,342.17,341.11,342.146,63703.0
META,2024-01-02 10:41:00,342.1493,342.155,341.23,341.28,45088.0
META,2024-01-02 10:42:00,341.28,341.57,341.14,341.56,44265.0
META,2024-01-02 10:43:00,341.5448,341.62,341.41,341.58,24580.0
META,2024-01-02 10:44:00,341.58,342.14,341.58,342.1,64744.0
META,2024-01-02 10:45:00,342.1497,342.1899,341.765,341.7875,51250.0
META,2024-01-02 10:46:00,341.8,342.0064,341.55,341.67,51779.0
META,2024-01-02 10:47:00,341.635,341.64,341.19,341.25,42795.0
META,2024-01-02 10:48:00,341.21,341.21,340.81,340.9,85788.0
META,2024-01-02 10:49:00,340.9196,341.145,340.32,340.36,65133.0
META,2024-01-02 10:50:00,340.385,340.5607,340.09,340.09,84196.0
META,2024-01-02 10:51:00,340.1,340.61,340.01,340.55,122121.0
META,2024-01-02 10:52:00,340.58,340.61,340.2278,340.49,39625.0
META,2024-01-02 10:53:00,340.48,340.7765,340.39,340.505,71939.0
META,2024-01-02 10:54:00,340.52,340.65,340.38,340.45,35583.0
META,2024-01-02 10:55:00,340.52,340.76,340.4975,340.6182,47241.0
META,2024-01-02 10:56:00,340.575,341.03,340.575,340.94,46350.0
META,2024-01-02 10:57:00,340.93,340.94,340.33,340.3365,50540.0
META,2024-01-02 10:58:00,340.33,340.43,340.225,340.43,39344.0
META,2024-01-02 10:59:00,340.46,340.76,340.38,340.71,48340.0
META,2024-01-02 11:00:00,340.68,341.35,340.6601,341.225,52169.0
META,2024-01-02 11:01:00,341.235,341.64,341.13,341.37,56455.0
META,2024-01-02 11:02:00,341.42,341.645,341.12,341.36,57269.0
META,2024-01-02 11:03:00,341.3789,341.47,341.07,341.21,36180.0
META,2024-01-02 11:04:00,341.17,342.15,341.17,342.13,37276.0
META,2024-01-02 11:05:00,342.14,342.17,341.7944,342.015,46317.0
META,2024-01-02 11:06:00,341.97,342.03,341.5001,341.74,32066.0
META,2024-01-02 11:07:00,341.79,342.03,341.69,341.86,41337.0
META,2024-01-02 11:08:00,341.875,342.08,341.76,341.8,46858.0
META,2024-01-02 11:09:00,341.82,342.46,341.7129,342.43,55228.0
META,2024-01-02 11:10:00,342.46,342.9,342.37,342.8286,142659.0
META,2024-01-02 11:11:00,342.87,343.1799,342.785,343.09,43801.0
META,2024-01-02 11:12:00,343.07,343.2089,342.95,343.14,46716.0
META,2024-01-02 11:13:00,343.09,343.2699,342.94,343.16,51508.0
META,2024-01-02 11:14:00,343.1539,343.27,342.96,343.06,42386.0
META,2024-01-02 11:15:00,343.03,343.14,342.86,342.87,31132.0
META,2024-01-02 11:16:00,342.87,343.43,342.86,343.43,52024.0
META,2024-01-02 11:17:00,343.44,343.62,343.25,343.615,61176.0
META,2024-01-02 11:18:00,343.59,343.82,343.45,343.7438,54770.0
META,2024-01-02 11:19:00,343.7718,344.0,343.62,343.96,54435.0
META,2024-01-02 11:20:00,343.975,344.24,343.5951,343.625,51649.0
META,2024-01-02 11:21:00,343.6799,343.96,343.645,343.72,27171.0
META,2024-01-02 11:22:00,343.74,343.75,343.41,343.44,23033.0
META,2024-01-02 11:23:00,343.4501,343.455,343.11,343.21,32891.0
META,2024-01-02 11:24:00,343.215,343.2392,342.77,343.06,48129.0
META,2024-01-02 11:25:00,343.0386,343.59,342.85,343.52,33379.0
META,2024-01-02 11:26:00,343.5897,343.81,343.42,343.6401,39145.0
META,2024-01-02 11:27:00,343.73,343.73,343.52,343.5418,18739.0
META,2024-01-02 11:28:00,343.55,343.84,343.5346,343.75,21542.0
META,2024-01-02 11:29:00,343.75,344.045,343.7465,344.0214,19592.0
META,2024-01-02 11:30:00,344.08,344.5368,344.06,344.5045,39628.0
META,2024-01-02 11:31:00,344.52,344.5384,344.3,344.325,27338.0
META,2024-01-02 11:32:00,344.325,344.48,344.27,344.48,33218.0
META,2024-01-02 11:33:00,344.45,344.54,344.35,344.5287,36489.0
META,2024-01-02 11:34:00,344.515,344.64,344.5102,344.58,30720.0
META,2024-01-02 11:35:00,344.59,344.59,344.26,344.405,36651.0
META,2024-01-02 11:36:00,344.455,344.83,344.42,344.8065,36102.0
META,2024-01-02 11:37:00,344.78,344.95,344.765,344.905,22170.0
META,2024-01-02 11:38:00,344.87,344.98,344.72,344.965,27591.0
META,2024-01-02 11:39:00,344.95,344.95,344.77,344.9154,30371.0
META,2024-01-02 11:40:00,344.94,345.0,344.71,344.76,26671.0
META,2024-01-02 11:41:00,344.75,344.97,344.75,344.9525,36902.0
META,2024-01-02 11:42:00,344.93,345.06,344.89,345.0,37778.0
META,2024-01-02 11:43:00,344.99,345.25,344.87,344.96,44920.0
META,2024-01-02 11:44:00,344.97,345.07,344.77,345.05,52138.0
META,2024-01-02 11:45:00,345.06,345.47,344.92,345.47,34597.0
META,2024-01-02 11:46:00,345.46,345.55,345.1982,345.43,44039.0
META,2024-01-02 11:47:00,345.46,345.79,345.3506,345.745,32262.0
META,2024-01-02 11:48:00,345.74,345.76,345.39,345.41,32314.0
META,2024-01-02 11:49:00,345.37,345.63,345.2901,345.58,20501.0
META,2024-01-02 11:50:00,345.55,345.69,345.54,345.54,14241.0
META,2024-01-02 11:51:00,345.54,345.76,345.52,345.74,30285.0
META,2024-01-02 11:52:00,345.7126,345.86,345.6,345.6,30638.0
META,2024-01-02 11:53:00,345.55,345.7,345.42,345.57,27626.0
META,2024-01-02 11:54:00,345.5405,345.59,345.35,345.425,12216.0
META,2024-01-02 11:55:00,345.4448,345.6,345.31,345.58,16509.0
META,2024-01-02 11:56:00,345.64,345.85,345.59,345.68,24732.0
META,2024-01-02 11:57:00,345.67,345.67,345.51,345.5896,16810.0
META,2024-01-02 11:58:00,345.6,345.87,345.49,345.5,34592.0
META,2024-01-02 11:59:00,345.5,345.68,345.235,345.66,40063.0
META,2024-01-02 12:00:00,345.7425,346.0012,345.7425,345.93,41079.0
META,2024-01-02 12:01:00,345.93,346.08,345.92,345.97,22432.0
META,2024-01-02 12:02:00,345.99,346.23,345.99,346.23,75107.0
META,2024-01-02 12:03:00,346.18,346.44,346.15,346.38,57730.0
META,2024-01-02 12:04:00,346.39,346.7,346.39,346.675,33451.0
META,2024-01-02 12:05:00,346.69,346.8352,346.63,346.63,37094.0
META,2024-01-02 12:06:00,346.66,346.76,346.512,346.625,44048.0
META,2024-01-02 12:07:00,346.625,346.69,346.4,346.5,32823.0
META,2024-01-02 12:08:00,346.48,346.71,346.42,346.47,28547.0
META,2024-01-02 12:09:00,346.43,346.43,346.117,346.185,30636.0
META,2024-01-02 12:10:00,346.14,346.18,345.85,345.85,39142.0
META,2024-01-02 12:11:00,345.845,345.9599,345.59,345.6449,29621.0
META,2024-01-02 12:12:00,345.6101,345.65,345.3129,345.55,30205.0
META,2024-01-02 12:13:00,345.58,345.715,345.28,345.36,17700.0
META,2024-01-02 12:14:00,345.425,345.53,345.2001,345.27,29993.0
META,2024-01-02 12:15:00,345.25,345.34,345.0536,345.3004,14803.0
META,2024-01-02 12:16:00,345.355,345.5499,345.28,345.43,38091.0
META,2024-01-02 12:17:00,345.44,345.44,344.975,345.12,39770.0
META,2024-01-02 12:18:00,345.135,345.18,344.87,345.0601,32156.0
META,2024-01-02 12:19:00,345.06,345.1792,345.0,345.08,19195.0
META,2024-01-02 12:20:00,345.07,345.5199,345.07,345.375,17663.0
META,2024-01-02 12:21:00,345.3741,345.5,345.305,345.305,10535.0
META,2024-01-02 12:22:00,345.35,345.4224,344.96,345.0107,12386.0
META,2024-01-02 12:23:00,345.07,345.17,345.0194,345.17,17286.0
META,2024-01-02 12:24:00,345.1585,345.26,345.1,345.235,13970.0
META,2024-01-02 12:25:00,345.2344,345.46,345.18,345.45,14959.0
META,2024-01-02 12:26:00,345.39,345.5,345.3272,345.45,12041.0
META,2024-01-02 12:27:00,345.35,345.51,345.31,345.45,11490.0
META,2024-01-02 12:28:00,345.51,345.58,345.4,345.415,18429.0
META,2024-01-02 12:29:00,345.3901,345.415,345.22,345.22,106362.0
META,2024-01-02 12:30:00,345.25,345.27,345.04,345.06,10032.0
META,2024-01-02 12:31:00,345.0883,345.3797,345.0883,345.3797,13244.0
META,2024-01-02 12:32:00,345.36,345.6309,345.36,345.6309,16903.0
META,2024-01-02 12:33:00,345.645,345.65,345.3,345.34,19783.0
META,2024-01-02 12:34:00,345.34,345.36,345.05,345.195,19021.0
META,2024-01-02 12:35:00,345.165,345.2,344.98,345.08,17589.0
META,2024-01-02 12:36:00,345.05,345.1399,344.98,344.9821,17931.0
META,2024-01-02 12:37:00,345.01,345.05,344.7701,345.01,20242.0
META,2024-01-02 12:38:00,345.055,345.21,344.9903,345.1751,11695.0
META,2024-01-02 12:39:00,345.2,345.3912,345.15,345.35,19814.0
META,2024-01-02 12:40:00,345.41,345.84,345.41,345.7597,23246.0
META,2024-01-02 12:41:00,345.785,345.83,345.29,345.29,25382.0
META,2024-01-02 12:42:00,345.35,345.48,345.29,345.41,14355.0
META,2024-01-02 12:43:00,345.39,345.4769,345.35,345.47,13275.0
META,2024-01-02 12:44:00,345.44,345.69,345.41,345.6669,17541.0
META,2024-01-02 12:45:00,345.65,345.65,345.1001,345.13,18239.0
META,2024-01-02 12:46:00,345.155,345.16,344.89,344.89,19608.0
META,2024-01-02 12:47:00,344.85,344.85,344.47,344.53,34662.0
META,2024-01-02 12:48:00,344.51,344.6526,344.23,344.27,34080.0
META,2024-01-02 12:49:00,344.2654,344.4,344.16,344.3301,16721.0
META,2024-01-02 12:50:00,344.3659,344.3659,344.11,344.11,16317.0
META,2024-01-02 12:51:00,344.2,344.34,344.11,344.3152,15826.0
META,2024-01-02 12:52:00,344.37,344.37,344.18,344.22,12362.0
META,2024-01-02 12:53:00,344.22,344.22,344.06,344.14,17805.0
META,2024-01-02 12:54:00,344.1201,344.27,344.06,344.07,16320.0
META,2024-01-02 12:55:00,344.0797,344.1098,343.7756,343.84,26352.0
META,2024-01-02 12:56:00,343.8501,343.99,343.64,343.9,20095.0
META,2024-01-02 12:57:00,343.92,343.93,343.7,343.75,12874.0
META,2024-01-02 12:58:00,343.7,343.8318,343.5,343.59,18134.0
META,2024-01-02 12:59:00,343.5301,343.66,343.5301,343.55,12893.0
META,2024-01-02 13:00:00,343.53,343.57,343.41,343.54,18555.0
META,2024-01-02 13:01:00,343.51,343.59,343.42,343.5688,29065.0
META,2024-01-02 13:02:00,343.52,343.535,343.28,343.41,24621.0
META,2024-01-02 13:03:00,343.42,343.56,343.22,343.31,137429.0
META,2024-01-02 13:04:00,343.31,343.6,343.16,343.52,22575.0
META,2024-01-02 13:05:00,343.5106,343.54,343.31,343.33,21344.0
META,2024-01-02 13:06:00,343.36,343.47,343.02,343.14,22925.0
META,2024-01-02 13:07:00,343.16,343.4,343.0,343.4,27862.0
META,2024-01-02 13:08:00,343.4,343.61,343.24,343.56,32157.0
META,2024-01-02 13:09:00,343.5274,343.67,343.42,343.55,27421.0
META,2024-01-02 13:10:00,343.58,344.02,343.56,343.88,34638.0
META,2024-01-02 13:11:00,343.84,344.28,343.8293,344.1836,29552.0
META,2024-01-02 13:12:00,344.185,344.27,344.09,344.14,17542.0
META,2024-01-02 13:13:00,344.14,344.33,344.08,344.295,17258.0
META,2024-01-02 13:14:00,344.28,344.5399,344.14,344.34,26771.0
META,2024-01-02 13:15:00,344.26,344.48,344.12,344.38,38318.0
META,2024-01-02 13:16:00,344.35,344.39,343.91,344.1,20738.0
META,2024-01-02 13:17:00,344.06,344.24,344.05,344.142,11746.0
META,2024-01-02 13:18:00,344.1505,344.23,344.11,344.11,10463.0
META,2024-01-02 13:19:00,344.13,344.16,343.96,344.08,12677.0
META,2024-01-02 13:20:00,344.08,344.17,343.9692,344.14,16539.0
META,2024-01-02 13:21:00,344.158,344.21,344.0975,344.21,8906.0
META,2024-01-02 13:22:00,344.21,344.21,344.02,344.065,17226.0
META,2024-01-02 13:23:00,344.1,344.19,344.07,344.07,12730.0
META,2024-01-02 13:24:00,344.08,344.27,344.08,344.2132,15806.0
META,2024-01-02 13:25:00,344.19,344.215,344.12,344.12,10039.0
META,2024-01-02 13:26:00,344.15,344.35,344.11,344.3,19542.0
META,2024-01-02 13:27:00,344.31,344.45,343.96,343.99,29685.0
META,2024-01-02 13:28:00,343.995,344.0,343.83,343.88,17896.0
META,2024-01-02 13:29:00,343.89,344.2,343.84,344.18,22169.0
META,2024-01-02 13:30:00,344.16,344.45,344.1001,344.375,22695.0
META,2024-01-02 13:31:00,344.38,344.435,344.14,344.19,14701.0
META,2024-01-02 13:32:00,344.21,344.25,343.93,343.955,18705.0
META,2024-01-02 13:33:00,343.97,344.1,343.86,344.07,20418.0
META,2024-01-02 13:34:00,344.06,344.08,343.98,344.04,23523.0
META,2024-01-02 13:35:00,344.02,344.055,343.87,344.05,26241.0
META,2024-01-02 13:36:00,344.045,344.2148,343.99,344.01,17007.0
META,2024-01-02 13:37:00,344.02,344.05,343.79,343.84,24458.0
META,2024-01-02 13:38:00,343.86,343.955,343.6,343.6899,15397.0
META,2024-01-02 13:39:00,343.69,343.77,343.66,343.74,21340.0
META,2024-01-02 13:40:00,343.73,343.76,343.6,343.62,17508.0
META,2024-01-02 13:41:00,343.6283,343.92,343.62,343.92,20629.0
